Time	Subsystem	Information
1850-01-01 AM	Institution	Institution: ConstructionCompany
Owner: government Thatcher
Location: (0,0)
	
1850-01-01 AM	actions	Eve Coley and Eve Coley Heard at (x = 70, y = 1), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and aurlie Northrup GenerateInstitution at (x = 84, y = 38), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and Eve Coley GenerateInstitution at (x = 13, y = 98), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup Talk at (x = 7, y = 76), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup Heard at (x = 7, y = 76), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup Heard at (x = 7, y = 76), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and aurlie Northrup Heard at (x = 95, y = 28), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Talk at (x = 21, y = 68), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Heard at (x = 21, y = 68), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley Heard at (x = 21, y = 68), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and aurlie Northrup Heard at (x = 74, y = 82), 4:54:56 PM	
1850-01-01 AM	actions	aurlie Northrup and Eve Coley InstitutionHiring at (x = 34, y = 40), 4:54:56 PM	
1850-01-01 AM	actions	Eve Coley and Eve Coley GenerateInstitution at (x = 36, y = 38), 4:54:57 PM	
1850-01-01 AM	actions	Eve Coley and aurlie Northrup Heard at (x = 63, y = 22), 4:54:57 PM	
1850-01-01 AM	actions	aurlie Northrup and Eve Coley InstitutionHiring at (x = 4, y = 86), 4:54:57 PM	
1850-01-01 AM	actions	aurlie Northrup and Eve Coley InstitutionHiring at (x = 49, y = 61), 4:54:57 PM	
1850-01-01 AM	actions	Eve Coley and aurlie Northrup Heard at (x = 89, y = 63), 4:54:57 PM	
1850-01-01 AM	actions	Eve Coley and aurlie Northrup ConstructInstitution at (x = 89, y = 14), 4:54:57 PM	
